first_name,last_name,email,Amount left to reach goal,outcome
Tobias,Carbajal,tobias.carbajal@live.com,426.00,live
Danny,Farrell,danny.farrell@hotmail.com,1503.00,live
Imelda,Guerin,imelda.guerin@stumpf.net,1559.00,live
Katarina,Clarke,katarina.clarke@hotmail.com.au,3739.00,live
Caroline,Reeves,caroline.reeves@yahoo.com,3768.00,live
Svenja,Perrin,svenja.perrin@berger.com,8362.00,live
Gabriela,Padilla,gabriela.padilla@pearson-russell.com,40291.00,live
Henry,Gucci,henry.gucci@leleu.fr,41198.00,live
Guillermina,Nicholson,guillermina.nicholson@grondin.fr,71872.00,live
Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,72323.00,live
Ariadna,Geisel,ariadna.geisel@rangel.com,88154.00,live
Chantal,Armas,chantal.armas@jenkins.net,98164.00,live
Lauretta,Neal,lauretta.neal@hotmail.de,151747.00,live
Calogero,Cross,calogero.cross@mercantini.it,153288.00,live
